 #calculated the component:  1  2  3
 #tolerence:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    4.062113E+01eV    1.492799E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units
 #
       0.791851   2.704269E-01   1.132762E+01
       0.800015   2.888523E-01   1.209942E+01
       0.808178   3.093819E-01   1.295936E+01
       0.816342   3.317778E-01   1.389748E+01
       0.824505   3.553615E-01   1.488535E+01
       0.832668   3.789420E-01   1.587309E+01
       0.840832   4.010271E-01   1.679818E+01
       0.848995   4.204246E-01   1.761070E+01
       0.857159   4.369728E-01   1.830387E+01
       0.865322   4.518283E-01   1.892614E+01
       0.873485   4.670433E-01   1.956347E+01
       0.881649   4.848164E-01   2.030794E+01
       0.889812   5.069555E-01   2.123530E+01
       0.897976   5.347291E-01   2.239868E+01
       0.906139   5.689825E-01   2.383349E+01
       0.914302   6.103757E-01   2.556736E+01
       0.922466   6.596247E-01   2.763029E+01
       0.930629   7.175772E-01   3.005780E+01
       0.938793   7.849034E-01   3.287796E+01
       0.946956   8.613152E-01   3.607869E+01
       0.955120   9.444617E-01   3.956152E+01
       0.963283   1.028925E+00   4.309949E+01
       0.971446   1.106123E+00   4.633318E+01
       0.979610   1.166110E+00   4.884588E+01
       0.987773   1.201285E+00   5.031929E+01
       0.995937   1.209993E+00   5.068408E+01
       1.004100   1.197102E+00   5.014411E+01
       1.012263   1.170989E+00   4.905027E+01
       1.020427   1.139559E+00   4.773375E+01
       1.028590   1.108216E+00   4.642083E+01
       1.036754   1.080274E+00   4.525043E+01
       1.044917   1.058238E+00   4.432737E+01
       1.053081   1.044380E+00   4.374688E+01
       1.061244   1.040518E+00   4.358511E+01
       1.069407   1.047705E+00   4.388615E+01
       1.077571   1.066244E+00   4.466274E+01
       1.085734   1.095972E+00   4.590795E+01
       1.093898   1.136733E+00   4.761534E+01
       1.102061   1.188995E+00   4.980449E+01
       1.110224   1.254124E+00   5.253264E+01
       1.118388   1.333719E+00   5.586668E+01
       1.126551   1.427925E+00   5.981278E+01
       1.134715   1.533373E+00   6.422980E+01
       1.142878   1.641748E+00   6.876936E+01
       1.151042   1.740276E+00   7.289649E+01
       1.159205   1.815126E+00   7.603180E+01
       1.167368   1.856735E+00   7.777474E+01
       1.175532   1.863696E+00   7.806631E+01
       1.183695   1.842552E+00   7.718063E+01
       1.191859   1.804473E+00   7.558560E+01
       1.200022   1.761391E+00   7.378098E+01
       1.208185   1.722971E+00   7.217166E+01
       1.216349   1.694849E+00   7.099365E+01
       1.224512   1.678478E+00   7.030794E+01
       1.232676   1.672629E+00   7.006293E+01
       1.240839   1.675736E+00   7.019306E+01
       1.249003   1.687822E+00   7.069932E+01
       1.257166   1.711120E+00   7.167521E+01
       1.265329   1.749480E+00   7.328205E+01
       1.273493   1.807150E+00   7.569771E+01
       1.281656   1.887469E+00   7.906212E+01
       1.289820   1.991797E+00   8.343221E+01
       1.297983   2.118504E+00   8.873970E+01
       1.306146   2.261624E+00   9.473468E+01
       1.314310   2.409459E+00   1.009272E+02
       1.322473   2.544884E+00   1.065999E+02
       1.330637   2.649537E+00   1.109835E+02
       1.338800   2.711394E+00   1.135746E+02
       1.346963   2.730853E+00   1.143897E+02
       1.355127   2.720096E+00   1.139391E+02
       1.363290   2.696599E+00   1.129549E+02
       1.371454   2.676534E+00   1.121144E+02
       1.379617   2.671800E+00   1.119161E+02
       1.387781   2.689923E+00   1.126752E+02
       1.395944   2.734644E+00   1.145485E+02
       1.404107   2.806177E+00   1.175449E+02
       1.412271   2.901295E+00   1.215292E+02
       1.420434   3.013862E+00   1.262444E+02
       1.428598   3.136264E+00   1.313715E+02
       1.436761   3.261369E+00   1.366119E+02
       1.444924   3.384168E+00   1.417557E+02
       1.453088   3.502605E+00   1.467168E+02
       1.461251   3.617573E+00   1.515326E+02
       1.469415   3.732063E+00   1.563283E+02
       1.477578   3.849441E+00   1.612450E+02
       1.485742   3.970958E+00   1.663351E+02
       1.493905   4.093247E+00   1.714575E+02
       1.502068   4.207713E+00   1.762523E+02
       1.510232   4.303505E+00   1.802648E+02
       1.518395   4.372918E+00   1.831724E+02
       1.526559   4.415243E+00   1.849453E+02
       1.534722   4.436218E+00   1.858238E+02
       1.542885   4.444369E+00   1.861653E+02
       1.551049   4.447287E+00   1.862875E+02
       1.559212   4.449451E+00   1.863782E+02
       1.567376   4.452041E+00   1.864866E+02
       1.575539   4.454641E+00   1.865956E+02
       1.583703   4.457752E+00   1.867259E+02
       1.591866   4.464168E+00   1.869946E+02
       1.600029   4.478265E+00   1.875851E+02
       1.608193   4.504248E+00   1.886735E+02
       1.616356   4.544822E+00   1.903731E+02
       1.624520   4.600414E+00   1.927017E+02
       1.632683   4.668112E+00   1.955374E+02
       1.640846   4.740373E+00   1.985643E+02
       1.649010   4.805493E+00   2.012920E+02
       1.657173   4.851601E+00   2.032234E+02
       1.665337   4.872448E+00   2.040966E+02
       1.673500   4.870823E+00   2.040285E+02
       1.681664   4.857246E+00   2.034599E+02
       1.689827   4.845238E+00   2.029569E+02
       1.697990   4.846389E+00   2.030051E+02
       1.706154   4.867563E+00   2.038920E+02
       1.714317   4.910483E+00   2.056898E+02
       1.722481   4.972981E+00   2.083078E+02
       1.730644   5.051068E+00   2.115786E+02
       1.738807   5.140904E+00   2.153417E+02
       1.746971   5.240159E+00   2.194993E+02
       1.755134   5.348626E+00   2.240427E+02
       1.763298   5.468198E+00   2.290513E+02
       1.771461   5.602643E+00   2.346829E+02
       1.779625   5.757513E+00   2.411701E+02
       1.787788   5.939883E+00   2.488092E+02
       1.795951   6.157602E+00   2.579290E+02
       1.804115   6.418307E+00   2.688494E+02
       1.812278   6.728264E+00   2.818329E+02
       1.820442   7.090574E+00   2.970093E+02
       1.828605   7.502395E+00   3.142596E+02
       1.836768   7.952012E+00   3.330931E+02
       1.844932   8.418032E+00   3.526137E+02
       1.853095   8.872542E+00   3.716522E+02
       1.861259   9.287345E+00   3.890274E+02
       1.869422   9.639861E+00   4.037936E+02
       1.877585   9.916156E+00   4.153670E+02
       1.885749   1.011220E+01   4.235790E+02
       1.893912   1.023589E+01   4.287598E+02
       1.902076   1.030887E+01   4.318170E+02
       1.910239   1.036438E+01   4.341420E+02
       1.918403   1.043851E+01   4.372475E+02
       1.926566   1.055750E+01   4.422315E+02
       1.934729   1.072634E+01   4.493039E+02
       1.942893   1.092545E+01   4.576441E+02
       1.951056   1.111878E+01   4.657422E+02
       1.959220   1.127141E+01   4.721357E+02
       1.967383   1.136784E+01   4.761748E+02
       1.975546   1.141965E+01   4.783452E+02
       1.983710   1.145793E+01   4.799488E+02
       1.991873   1.151643E+01   4.823993E+02
       2.000037   1.161559E+01   4.865526E+02
       2.008200   1.175471E+01   4.923803E+02
       2.016364   1.191564E+01   4.991213E+02
       2.024527   1.207476E+01   5.057865E+02
       2.032690   1.221450E+01   5.116397E+02
       2.040854   1.232718E+01   5.163597E+02
       2.049017   1.241219E+01   5.199206E+02
       2.057181   1.247152E+01   5.224059E+02
       2.065344   1.250722E+01   5.239014E+02
       2.073507   1.252058E+01   5.244608E+02
       2.081671   1.251125E+01   5.240702E+02
       2.089834   1.247615E+01   5.225998E+02
       2.097998   1.240969E+01   5.198158E+02
       2.106161   1.230660E+01   5.154976E+02
       2.114325   1.216552E+01   5.095879E+02
       2.122488   1.198949E+01   5.022145E+02
       2.130651   1.178237E+01   4.935390E+02
       2.138815   1.154558E+01   4.836202E+02
       2.146978   1.127981E+01   4.724877E+02
       2.155142   1.098961E+01   4.603319E+02
       2.163305   1.068407E+01   4.475332E+02
       2.171468   1.037223E+01   4.344708E+02
       2.179632   1.005938E+01   4.213664E+02
       2.187795   9.748744E+00   4.083544E+02
       2.195959   9.446088E+00   3.956768E+02
       2.204122   9.162477E+00   3.837969E+02
       2.212286   8.912553E+00   3.733282E+02
       2.220449   8.708827E+00   3.647945E+02
       2.228612   8.554476E+00   3.583291E+02
       2.236776   8.438602E+00   3.534753E+02
       2.244939   8.337419E+00   3.492370E+02
       2.253103   8.221916E+00   3.443988E+02
       2.261266   8.068514E+00   3.379731E+02
       2.269429   7.867432E+00   3.295502E+02
       2.277593   7.624837E+00   3.193884E+02
       2.285756   7.357562E+00   3.081928E+02
       2.293920   7.082544E+00   2.966729E+02
       2.302083   6.806821E+00   2.851234E+02
       2.310246   6.524804E+00   2.733103E+02
       2.318410   6.224742E+00   2.607414E+02
       2.326573   5.899229E+00   2.471063E+02
       2.334737   5.551366E+00   2.325351E+02
       2.342900   5.192133E+00   2.174876E+02
       2.351064   4.832539E+00   2.024249E+02
       2.359227   4.478023E+00   1.875750E+02
       2.367390   4.129078E+00   1.729584E+02
       2.375554   3.785978E+00   1.585867E+02
       2.383717   3.453149E+00   1.446452E+02
       2.391881   3.140443E+00   1.315466E+02
       2.400044   2.860783E+00   1.198322E+02
       2.408207   2.624864E+00   1.099500E+02
       2.416371   2.435007E+00   1.019974E+02
       2.424534   2.281759E+00   9.557809E+01
       2.432698   2.146237E+00   8.990136E+01
       2.440861   2.007170E+00   8.407614E+01
       2.449025   1.847849E+00   7.740251E+01
       2.457188   1.659315E+00   6.950523E+01
       2.465351   1.439677E+00   6.030503E+01
       2.473515   1.191282E+00   4.990030E+01
       2.481678   9.179767E-01   3.845212E+01
       2.489842   6.240564E-01   2.614041E+01
       2.498005   3.145158E-01   1.317441E+01
       2.506168  -4.750460E-03  -1.989868E-01
       2.514332  -3.275195E-01  -1.371911E+01
       2.522495  -6.488480E-01  -2.717888E+01
       2.530659  -9.670448E-01  -4.050748E+01
       2.538822  -1.284050E+00  -5.378615E+01
       2.546986  -1.603056E+00  -6.714866E+01
       2.555149  -1.924905E+00  -8.063024E+01
       2.563312  -2.246103E+00  -9.408453E+01
       2.571476  -2.559545E+00  -1.072140E+02
       2.579639  -2.856497E+00  -1.196527E+02
       2.587803  -3.127936E+00  -1.310227E+02
       2.595966  -3.364897E+00  -1.409485E+02
       2.604129  -3.559243E+00  -1.490892E+02
       2.612293  -3.706403E+00  -1.552534E+02
       2.620456  -3.809313E+00  -1.595641E+02
       2.628620  -3.880862E+00  -1.625612E+02
       2.636783  -3.943419E+00  -1.651816E+02
       2.644947  -4.025965E+00  -1.686392E+02
       2.653110  -4.159050E+00  -1.742139E+02
       2.661273  -4.367255E+00  -1.829352E+02
       2.669437  -4.660931E+00  -1.952366E+02
       2.677600  -5.031628E+00  -2.107644E+02
       2.685764  -5.454200E+00  -2.284650E+02
       2.693927  -5.893693E+00  -2.468744E+02
       2.702090  -6.312494E+00  -2.644171E+02
       2.710254  -6.675376E+00  -2.796175E+02
       2.718417  -6.953847E+00  -2.912821E+02
       2.726581  -7.132131E+00  -2.987500E+02
       2.734744  -7.213965E+00  -3.021779E+02
       2.742907  -7.224812E+00  -3.026322E+02
       2.751071  -7.203931E+00  -3.017576E+02
       2.759234  -7.188539E+00  -3.011128E+02
       2.767398  -7.199749E+00  -3.015824E+02
       2.775561  -7.237969E+00  -3.031834E+02
       2.783725  -7.287224E+00  -3.052465E+02
       2.791888  -7.322982E+00  -3.067443E+02
       2.800051  -7.319752E+00  -3.066090E+02
       2.808215  -7.257998E+00  -3.040223E+02
       2.816378  -7.129654E+00  -2.986462E+02
       2.824542  -6.939512E+00  -2.906816E+02
       2.832705  -6.701610E+00  -2.807164E+02
       2.840868  -6.434209E+00  -2.695155E+02
       2.849032  -6.157054E+00  -2.579061E+02
       2.857195  -5.890326E+00  -2.467334E+02
       2.865359  -5.652614E+00  -2.367761E+02
       2.873522  -5.456965E+00  -2.285808E+02
       2.881686  -5.306600E+00  -2.222824E+02
       2.889849  -5.192859E+00  -2.175180E+02
       2.898012  -5.097376E+00  -2.135184E+02
       2.906176  -4.998545E+00  -2.093786E+02
       2.914339  -4.879839E+00  -2.044062E+02
       2.922503  -4.736186E+00  -1.983889E+02
       2.930666  -4.575399E+00  -1.916539E+02
       2.938829  -4.413891E+00  -1.848886E+02
       2.946993  -4.268857E+00  -1.788135E+02
       2.955156  -4.151685E+00  -1.739054E+02
       2.963320  -4.066865E+00  -1.703525E+02
       2.971483  -4.015984E+00  -1.682211E+02
       2.979647  -4.001702E+00  -1.676229E+02
       2.987810  -4.027077E+00  -1.686858E+02
       2.995973  -4.090723E+00  -1.713518E+02
       3.004137  -4.182694E+00  -1.752043E+02
       3.012300  -4.285599E+00  -1.795147E+02
       3.020464  -4.381006E+00  -1.835111E+02
       3.028627  -4.456944E+00  -1.866920E+02
       3.036790  -4.511688E+00  -1.889851E+02
       3.044954  -4.552120E+00  -1.906788E+02
       3.053117  -4.588944E+00  -1.922213E+02
       3.061281  -4.631708E+00  -1.940125E+02
       3.069444  -4.684809E+00  -1.962368E+02
       3.077608  -4.745685E+00  -1.987868E+02
       3.085771  -4.806906E+00  -2.013512E+02
       3.093934  -4.861107E+00  -2.036216E+02
       3.102098  -4.904720E+00  -2.054484E+02
       3.110261  -4.938114E+00  -2.068472E+02
       3.118425  -4.963446E+00  -2.079084E+02
       3.126588  -4.982237E+00  -2.086954E+02
       3.134751  -4.993562E+00  -2.091698E+02
       3.142915  -4.993906E+00  -2.091842E+02
       3.151078  -4.979573E+00  -2.085839E+02
       3.159242  -4.950225E+00  -2.073545E+02
       3.167405  -4.910331E+00  -2.056835E+02
       3.175568  -4.867316E+00  -2.038816E+02
       3.183732  -4.828620E+00  -2.022608E+02
       3.191895  -4.799951E+00  -2.010599E+02
       3.200059  -4.784715E+00  -2.004217E+02
       3.208222  -4.784033E+00  -2.003931E+02
       3.216386  -4.797453E+00  -2.009552E+02
       3.224549  -4.824549E+00  -2.020902E+02
       3.232712  -4.866324E+00  -2.038401E+02
       3.240876  -4.924696E+00  -2.062852E+02
       3.249039  -4.999914E+00  -2.094359E+02
       3.257203  -5.088297E+00  -2.131381E+02
       3.265366  -5.182855E+00  -2.170989E+02
       3.273529  -5.276400E+00  -2.210173E+02
       3.281693  -5.364087E+00  -2.246903E+02
       3.289856  -5.443508E+00  -2.280171E+02
       3.298020  -5.513163E+00  -2.309348E+02
       3.306183  -5.570719E+00  -2.333458E+02
       3.314347  -5.611505E+00  -2.350542E+02
       3.322510  -5.627538E+00  -2.357258E+02
       3.330673  -5.608419E+00  -2.349249E+02
       3.338837  -5.545143E+00  -2.322744E+02
       3.347000  -5.434701E+00  -2.276482E+02
       3.355164  -5.282078E+00  -2.212552E+02
       3.363327  -5.099615E+00  -2.136122E+02
       3.371490  -4.905748E+00  -2.054915E+02
       3.379654  -4.722889E+00  -1.978319E+02
       3.387817  -4.573047E+00  -1.915553E+02
       3.395981  -4.472192E+00  -1.873307E+02
       3.404144  -4.426495E+00  -1.854166E+02
       3.412308  -4.432769E+00  -1.856794E+02
       3.420471  -4.482507E+00  -1.877628E+02
       3.428634  -4.566190E+00  -1.912681E+02
       3.436798  -4.674955E+00  -1.958241E+02
       3.444961  -4.800122E+00  -2.010670E+02
       3.453125  -4.932920E+00  -2.066297E+02
       3.461288  -5.065118E+00  -2.121672E+02
       3.469451  -5.189784E+00  -2.173892E+02
       3.477615  -5.301950E+00  -2.220876E+02
       3.485778  -5.398942E+00  -2.261503E+02
       3.493942  -5.479604E+00  -2.295291E+02
       3.502105  -5.542876E+00  -2.321794E+02
       3.510269  -5.587110E+00  -2.340323E+02
       3.518432  -5.610222E+00  -2.350004E+02
       3.526595  -5.610142E+00  -2.349971E+02
       3.534759  -5.586133E+00  -2.339914E+02
       3.542922  -5.541364E+00  -2.321161E+02
       3.551086  -5.485152E+00  -2.297615E+02
       3.559249  -5.432191E+00  -2.275431E+02
       3.567412  -5.397978E+00  -2.261100E+02
       3.575576  -5.392753E+00  -2.258911E+02
       3.583739  -5.417262E+00  -2.269177E+02
       3.591903  -5.461998E+00  -2.287916E+02
       3.600066  -5.509885E+00  -2.307975E+02
       3.608229  -5.541435E+00  -2.321191E+02
       3.616393  -5.540783E+00  -2.320918E+02
       3.624556  -5.501048E+00  -2.304274E+02
       3.632720  -5.427646E+00  -2.273527E+02
       3.640883  -5.337420E+00  -2.235733E+02
       3.649047  -5.252796E+00  -2.200286E+02
       3.657210  -5.194001E+00  -2.175658E+02
       3.665373  -5.173520E+00  -2.167079E+02
       3.673537  -5.194511E+00  -2.175872E+02
       3.681700  -5.252377E+00  -2.200111E+02
       3.689864  -5.337273E+00  -2.235672E+02
       3.698027  -5.435131E+00  -2.276662E+02
       3.706190  -5.527538E+00  -2.315370E+02
       3.714354  -5.594019E+00  -2.343217E+02
       3.722517  -5.618002E+00  -2.353263E+02
       3.730681  -5.592526E+00  -2.342592E+02
       3.738844  -5.521508E+00  -2.312844E+02
       3.747008  -5.416516E+00  -2.268865E+02
       3.755171  -5.291823E+00  -2.216634E+02
       3.763334  -5.161127E+00  -2.161888E+02
       3.771498  -5.036968E+00  -2.109880E+02
       3.779661  -4.930044E+00  -2.065092E+02
       3.787825  -4.846346E+00  -2.030033E+02
       3.795988  -4.784903E+00  -2.004295E+02
       3.804151  -4.739538E+00  -1.985293E+02
       3.812315  -4.703033E+00  -1.970002E+02
       3.820478  -4.669460E+00  -1.955939E+02
       3.828642  -4.633201E+00  -1.940751E+02
       3.836805  -4.587033E+00  -1.921412E+02
       3.844969  -4.521679E+00  -1.894036E+02
       3.853132  -4.426702E+00  -1.854253E+02
       3.861295  -4.292343E+00  -1.797972E+02
       3.869459  -4.113249E+00  -1.722954E+02
       3.877622  -3.894332E+00  -1.631254E+02
       3.885786  -3.655874E+00  -1.531369E+02
       3.893949  -3.433226E+00  -1.438106E+02
       3.902112  -3.268768E+00  -1.369218E+02
       3.910276  -3.198005E+00  -1.339577E+02
       3.918439  -3.235021E+00  -1.355082E+02
       3.926603  -3.365044E+00  -1.409546E+02
       3.934766  -3.549371E+00  -1.486757E+02
       3.942930  -3.738738E+00  -1.566079E+02
       3.951093  -3.885631E+00  -1.627609E+02
       3.959256  -3.951121E+00  -1.655042E+02
       3.967420  -3.909028E+00  -1.637410E+02
       3.975583  -3.750347E+00  -1.570942E+02
       3.983747  -3.486301E+00  -1.460338E+02
       3.991910  -3.146990E+00  -1.318208E+02
       4.000073  -2.775444E+00  -1.162575E+02
       4.008237  -2.418968E+00  -1.013255E+02
       4.016400  -2.119590E+00  -8.878517E+01
       4.024564  -1.904916E+00  -7.979292E+01
       4.032727  -1.782041E+00  -7.464596E+01
       4.040890  -1.738436E+00  -7.281945E+01
       4.049054  -1.750556E+00  -7.332713E+01
       4.057217  -1.794330E+00  -7.516073E+01
       4.065381  -1.849431E+00  -7.746880E+01
       4.073544  -1.895399E+00  -7.939428E+01
       4.081708  -1.906391E+00  -7.985473E+01
       4.089871  -1.852732E+00  -7.760707E+01
       4.098034  -1.709884E+00  -7.162344E+01
       4.106198  -1.468443E+00  -6.151000E+01
       4.114361  -1.138797E+00  -4.770181E+01
       4.122525  -7.480466E-01  -3.133410E+01
       4.130688  -3.309958E-01  -1.386472E+01
       4.138851   8.038579E-02   3.367192E+00
       4.147015   4.653688E-01   1.949332E+01
       4.155178   8.191854E-01   3.431396E+01
       4.163342   1.152314E+00   4.826802E+01
       4.171505   1.482158E+00   6.208450E+01
       4.179669   1.819140E+00   7.619997E+01
       4.187832   2.156532E+00   9.033260E+01
       4.195995   2.473577E+00   1.036130E+02
       4.204159   2.750102E+00   1.151960E+02
       4.212322   2.980318E+00   1.248393E+02
       4.220486   3.175572E+00   1.330181E+02
       4.228649   3.355922E+00   1.405725E+02
       4.236812   3.539633E+00   1.482678E+02
       4.244976   3.740148E+00   1.566669E+02
       4.253139   3.970027E+00   1.662961E+02
       4.261303   4.242914E+00   1.777268E+02
       4.269466   4.567614E+00   1.913278E+02
       4.277630   4.937262E+00   2.068116E+02
       4.285793   5.322001E+00   2.229275E+02
       4.293956   5.672392E+00   2.376046E+02
       4.302120   5.934170E+00   2.485699E+02
       4.310283   6.067164E+00   2.541408E+02
       4.318447   6.057887E+00   2.537522E+02
       4.326610   5.919826E+00   2.479691E+02
       4.334773   5.683815E+00   2.380831E+02
       4.342937   5.385482E+00   2.255865E+02
       4.351100   5.056113E+00   2.117900E+02
       4.359264   4.719647E+00   1.976961E+02
       4.367427   4.393859E+00   1.840496E+02
       4.375591   4.091676E+00   1.713917E+02
       4.383754   3.820316E+00   1.600250E+02
       4.391917   3.579494E+00   1.499375E+02
       4.400081   3.362089E+00   1.408309E+02
       4.408244   3.159653E+00   1.323512E+02
       4.416408   2.970445E+00   1.244257E+02
       4.424571   2.803420E+00   1.174294E+02
       4.432734   2.674388E+00   1.120245E+02
       4.440898   2.598132E+00   1.088303E+02
       4.449061   2.582786E+00   1.081875E+02
       4.457225   2.628430E+00   1.100994E+02
       4.465388   2.728220E+00   1.142794E+02
       4.473551   2.870261E+00   1.202292E+02
       4.481715   3.039332E+00   1.273113E+02
       4.489878   3.218222E+00   1.348046E+02
       4.498042   3.388671E+00   1.419443E+02
       4.506205   3.531972E+00   1.479469E+02
       4.514369   3.630017E+00   1.520538E+02
       4.522532   3.667989E+00   1.536443E+02
       4.530695   3.638263E+00   1.523992E+02
       4.538859   3.543574E+00   1.484329E+02
       4.547022   3.397686E+00   1.423219E+02
       4.555186   3.222731E+00   1.349935E+02
       4.563349   3.043514E+00   1.274864E+02
       4.571512   2.880551E+00   1.206602E+02
       4.579676   2.744242E+00   1.149506E+02
       4.587839   2.632360E+00   1.102640E+02
       4.596003   2.531971E+00   1.060589E+02
       4.604166   2.425058E+00   1.015806E+02
       4.612330   2.295796E+00   9.616608E+01
       4.620493   2.136832E+00   8.950741E+01
       4.628656   1.951793E+00   8.175651E+01
       4.636820   1.752884E+00   7.342462E+01
       4.644983   1.555459E+00   6.515491E+01
       4.653147   1.372758E+00   5.750197E+01
       4.661310   1.212719E+00   5.079824E+01
       4.669473   1.077107E+00   4.511774E+01
       4.677637   9.626685E-01   4.032416E+01
       4.685800   8.637026E-01   3.617869E+01
       4.693964   7.747488E-01   3.245260E+01
       4.702127   6.921136E-01   2.899119E+01
       4.710291   6.141431E-01   2.572516E+01
       4.718454   5.410548E-01   2.266365E+01
       4.726617   4.749134E-01   1.989313E+01
       4.734781   4.195769E-01   1.757520E+01
       4.742944   3.802637E-01   1.592845E+01
       4.751108   3.631288E-01   1.521070E+01
       4.759271   3.754043E-01   1.572490E+01
       4.767434   4.250759E-01   1.780554E+01
       4.775598   5.179153E-01   2.169439E+01
       4.783761   6.519094E-01   2.730712E+01
       4.791925   8.132458E-01   3.406516E+01
       4.800088   9.785554E-01   4.098963E+01
       4.808252   1.123312E+00   4.705319E+01
       4.816415   1.231061E+00   5.156657E+01
       4.824578   1.297223E+00   5.433794E+01
       4.832742   1.325838E+00   5.553656E+01
       4.840905   1.323893E+00   5.545509E+01
       4.849069   1.298506E+00   5.439168E+01
       4.857232   1.257232E+00   5.266281E+01
       4.865395   1.208334E+00   5.061460E+01
       4.873559   1.159235E+00   4.855792E+01
       4.881722   1.114088E+00   4.666682E+01
       4.889886   1.072188E+00   4.491169E+01
       4.898049   1.028365E+00   4.307603E+01
       4.906213   9.758717E-01   4.087722E+01
       4.914376   9.106180E-01   3.814388E+01
